Created by Douglas Galbi
For source and data descrition, see 
http://www.galbithink.org/names/us200.htm 

Mary,8178
Helen,4019
Ann,3410
Margaret,3155
Elizabet,2966
Dorothy,2407
Ruth,2249
Ellen,2169
Lou,2150
Catherin,2099
Rose,1583
Frances,1574
Evelyn,1549
Mildred,1524
Jane,1469
Lily,1387
Florence,1366
Alice,1311
Virginia,1139
Ada,1032
Ethel,959
Josephin,881
Edna,875
Edith,871
Irene,847
Emily,827
Esther,818
Hazel,789
Grace,789
Martha,764
Gwen,747
Sarah,734
Thelma,734
Violet,726
Clara,725
Ruby,714
Gertrude,675
Paula,637
Mabel,630
Wilma,618
Bertha,577
Beatrice,552
Julia,534
Agnes,532
Minnie,491
Laura,488
Pearl,484
Bernice,483
Doris,455
Harriet,455
Lori,435
Lucy,416
Veronica,414
Matilda,399
Lois,394
Myrtle,391
Stella,390
May,372
Jesse,371
Betty,360
Nora,344
Blanche,337
Alma,325
Vivian,325
Geneva,311
Sophia,309
Leona,303
Susan,301
Dora,298
Caroline,297
Cora,293
Olga,283
Charlott,276
Keri,274
Georgina,256
Cecilia,255
Isabella,251
Opal,250
Theresa,249
Angel,245
Sylvia,244
Nancy,241
Leta,228
Velma,223
Barbara,222
Rita,217
Lee,214
Rebecca,214
Winfred,208
Olive,203
Hilda,199
Maxine,195
Christin,187
June,185
Madeline,183
Eunice,178
Frederic,177
Audrey,177
Geraldin,175
Verna,170
Sadie,168
Alberta,165
Roberta,159
Fay,157
Daisy,156
Maud,155
Estella,155
Arlene,153
Mamie,152
Rachel,151
Dahlia,150
Regina,147
Inez,146
Erma,143
Beulah,139
Lola,138
Jewel,138
Dolores,138
Sally,136
Amelia,135
Fern,134
Victoria,133
Milicent,132
Joan,131
Henriett,128
Phyllis,125
Juana,116
Wanda,116
Effie,110
Ora,107
Bella,104
Naomi,104
Marci,102
Shirley,102
Dorris,102
Gladis,101
Lydia,101
Bonnie,100
Elma,100
Irma,99
Muriel,95
Nina,95
Goldie,94
Eula,93
Dortha,89
Patricia,87
Amy,81
Zel,80
Selma,79
Cleo,77
Hannah,77
Elva,76
Yvette,75
Constanc,75
Eugenie,72
Joyce,69
Mae,67
Delores,63
Antonett,62
Alta,59
Eloise,57
Ina,55
Iris,53
Iona,53
Linda,52
Carmela,52
Ernestin,51
Augustin,51
Elenore,50
Leola,50
Bulah,50
Camilla,50
Lesley,49
Tessa,49
Rhonda,47
Donna,47
Lulu,45
Gussie,44
Laverne,42
Amanda,40
Imogene,39
Rubie,39
Elvira,37
Neva,36
Melba,36
Janice,36
Antonia,35
Yetta,35
Haley,35
Lorine,34
Nadine,34
Berna,34
Christia,34
Reta,34
Myra,33
Leota,33
Irine,32
Valerie,32
Genevive,32
Johnnie,32
Estell,32
Bula,31
Evalyn,31
Merle,31
Maureen,31
Rox,31
Dinah,31
Nola,31
Beverly,30
Carmen,30
Vesta,30
Odessa,30
Dorthea,30
Phylis,29
Priscill,29
Yvonne,29
Mona,29
Jaunita,28
Floy,27
Natalia,27
Iola,26
Lavinia,26
Leila,26
Pansy,26
Garnet,26
Stephani,26
Mannie,26
Dixie,26
Ila,25
Hetty,25
Dorotha,25
Vernie,25
Sybil,25
Ivy,25
La,25
Gretchen,24
Mammie,24
Berta,24
Margorie,24
Alvina,24
Lenore,23
Ma,23
Avice,23
Glenda,23
Hope,23
Claud,23
Majorie,22
Dana,22
Ilene,22
Leora,22
Alpha,22
Reva,21
Nona,21
Theda,21
Avis,21
Charlene,21
Leone,20
Dorthey,20
Beula,20
Desiree,20
Elda,20
Gail,19
Alethea,19
Ona,19
Casandra,19
Golda,19
Monica,19
Delma,19
Mercedes,19
Melvina,19
Concetta,19
Hulda,19
Wilmer,18
Vada,18
Abigail,18
Mavis,18
Selina,18
Mandy,18
Melva,18
Velva,18
Edwina,18
Philomen,17
Crystal,17
Judy,17
Elinore,17
