Created by Douglas Galbi
For source and data descrition, see 
Vernice,17
Orpah,17
Claudie,17
Artie,17
Rowena,17
Phebe,17
Allene,17
Cynthia,17
Evylin,16
Adell,16
Verda,16
Elberta,16
Winona,16
Loise,16
Oma,16
Roma,16
Leana,16
Ramona,16
Ines,16
Nelda,16
Vida,15
Veda,15
Beryl,15
Gladdis,15
Buelah,15
Una,15
Adella,15
Jamie,15
Alva,15
Lavern,15
Almeda,15
Odell,15
Gene,15
Tina,15
Justina,14
Vergie,14
Freida,14
Al,14
Esta,14
Hazle,14
Stanisla,14
Neoma,14
Myrtie,14
Deborah,14
Zola,14
Dara,14
Lida,14
Ray,14
Elna,14
Not,14
Marvel,13
Carrol,13
Queen,13
Maybell,13
Alline,13
Jacqueli,13
Louie,13
Waneta,13
Linnie,13
Altha,13
Clementi,13
Viva,13
Guadalup,13
Lenna,13
Willma,13
Jimmie,13
Easter,13
Myrna,13
Genieve,13
Albina,13
Verla,12
Chloe,12
Burnice,12
Murtle,12
Celeste,12
Cordelia,12
Myrtis,12
Rhea,12
Gloria,12
Lollie,12
Felicia,12
Syble,12
Leo,12
Enid,12
Zula,12
Corinne,12
Ruba,12
Malinda,12
Lulla,12
Emogene,12
Belva,12
Jeane,12
Marnie,12
Vina,12
Nillie,12
Doretha,12
Alvira,12
Magdelin,12
Zora,11
Wanita,11
Alene,11
Vilma,11
Alfreda,11
Ursula,11
Lona,11
Thomasin,11
Genevie,11
Elvina,11
Cary,11
Glady,11
Oleta,11
Mabelle,11
Stefania,11
Marcelle,11
Elsia,11
Velda,11
Delphine,11
Davis,11
Mayme,11
Meta,11
Mittie,11
Hilma,11
Mozelle,11
Janina,10
Retta,10
Paulene,10
Lidia,10
Kathalee,10
Lonnie,10
Ophelia,10
Lorretta,10
Ima,10
Lucele,10
Margarie,10
No,10
Nila,10
Mozell,10
Lu,10
Bernie,10
Cathalin,10
Verona,10
Celina,10
Dartha,10
Bridget,10
Doloris,10
Dovie,10
Bethel,10
Elanore,10
Gerturde,10
Tressie,10
Hortense,10
Elnore,10
Erline,10
Theodoci,10
Etha,10
Florida,10
Audry,10
Gennie,10
Geneve,10
Golden,10
Hildred,10
Ula,10
